record_id,student_id,student_name,student_major,course_id,course_name,course_credits,behavior_type,duration,timestamp,date,hour,weekday,week_number,ip_address,device_type,browser,os,chapter_id,score,is_weekend,is_exam_week
REC_20250901074651_02190,STU_20210144,韩冰,软件工程,COURSE_004,机器学习导论,4.0,homework_submit,5346,2025-09-01 07:46:51,2025-09-01,7,0,1,192.168.2.9.14,PC,MicroMessenger,Ubuntu,CH_001,90.8,0,0
REC_20250901075159_01778,STU_20210052,戴勇,网络工程,COURSE_003,数据库原理,3.0,video_watch,4718,2025-09-01 07:51:59,2025-09-01,7,0,1,192.168.2.21.17,Tablet,Firefox,Windows 11,CH_001,,0,0
REC_20250901080002_03950,STU_20220083,刘欣怡,网络工程,COURSE_001,大数据技术基础,3.0,video_watch,1671,2025-09-01 08:00:02,2025-09-01,8,0,1,192.168.2.116.14,Tablet,Edge,iOS,CH_001,,0,0
REC_20250901080056_01278,STU_20210099,郑雅静,软件工程,COURSE_003,数据库原理,3.0,material_download,202,2025-09-01 08:00:56,2025-09-01,8,0,1,192.168.1.73.155,Mobile,Chrome,iOS,CH_001,,0,0
REC_20250901080751_04421,STU_20200181,石涛,软件工程,COURSE_002,Python程序设计,4.0,video_watch,4338,2025-09-01 08:07:51,2025-09-01,8,0,1,10.1.135.13,Tablet,MicroMessenger,Android,CH_001,,0,0
REC_20250901080922_05261,STU_20200001,李娜,计算机科学与技术,COURSE_003,数据库原理,3.0,quiz_complete,2350,2025-09-01 08:09:22,2025-09-01,8,0,1,10.1.201.115,PC,Firefox,iOS,CH_001,64.8,0,0
REC_20250901081617_04397,STU_20210014,郭明,数据科学,COURSE_007,分布式系统,2.0,quiz_complete,2378,2025-09-01 08:16:17,2025-09-01,8,0,1,192.168.1.122.192,Mobile,MicroMessenger,Windows 10,CH_001,84.0,0,0
REC_20250901081847_06904,STU_20200081,李思雨,计算机科学与技术,COURSE_006,数据挖掘,3.0,quiz_complete,3072,2025-09-01 08:18:47,2025-09-01,8,0,1,192.168.1.96.36,Mobile,MicroMessenger,macOS,CH_001,68.8,0,0
REC_20250901084101_05507,STU_20210193,康华,网络工程,COURSE_002,Python程序设计,4.0,homework_submit,8429,2025-09-01 08:41:01,2025-09-01,8,0,1,10.3.10.70,Mobile,MicroMessenger,Android,CH_001,76.3,0,0
REC_20250901084510_01290,STU_20210032,邓秀英,网络工程,COURSE_002,Python程序设计,4.0,homework_submit,4754,2025-09-01 08:45:10,2025-09-01,8,0,1,10.2.200.185,Mobile,Firefox,Windows 10,CH_002,63.1,0,0
REC_20250901084821_02443,STU_20200034,傅明,计算机科学与技术,COURSE_008,人工智能基础,4.0,quiz_complete,1892,2025-09-01 08:48:21,2025-09-01,8,0,1,10.2.154.137,PC,Safari,macOS,CH_002,50.2,0,0
REC_20250901094111_06071,STU_20220187,金丽,网络工程,COURSE_006,数据挖掘,3.0,homework_submit,5354,2025-09-01 09:41:11,2025-09-01,9,0,1,10.3.26.18,Mobile,Edge,iOS,CH_002,56.9,0,0
REC_20250901094559_09886,STU_20210128,周婷,软件工程,COURSE_007,分布式系统,2.0,video_watch,5283,2025-09-01 09:45:59,2025-09-01,9,0,1,10.3.214.54,PC,Chrome,Android,CH_001,,0,0
REC_20250901101342_02774,STU_20220049,余明,计算机科学与技术,COURSE_005,云计算技术,3.0,material_download,172,2025-09-01 10:13:42,2025-09-01,10,0,1,10.1.144.59,PC,Firefox,iOS,CH_002,,0,0
REC_20250901101744_08689,STU_20220142,宋涛,人工智能,COURSE_004,机器学习导论,4.0,homework_submit,5596,2025-09-01 10:17:44,2025-09-01,10,0,1,192.168.2.82.230,PC,Firefox,Android,CH_001,66.0,0,0
REC_20250901101902_01369,STU_20200081,李思雨,计算机科学与技术,COURSE_006,数据挖掘,3.0,quiz_complete,2448,2025-09-01 10:19:02,2025-09-01,10,0,1,10.1.200.173,Mobile,MicroMessenger,macOS,CH_001,65.4,0,0
REC_20250901101937_09218,STU_20210022,宋涛,计算机科学与技术,COURSE_005,云计算技术,3.0,quiz_complete,1082,2025-09-01 10:19:37,2025-09-01,10,0,1,192.168.1.142.36,Tablet,Safari,Windows 10,CH_001,71.4,0,0
REC_20250901102153_05684,STU_20200138,罗军,计算机科学与技术,COURSE_008,人工智能基础,4.0,quiz_complete,1002,2025-09-01 10:21:53,2025-09-01,10,0,1,10.2.133.22,Mobile,Chrome,macOS,CH_001,73.6,0,0
